Date : 2026-01-21 10:07:40
Directory : /Users/zihaowen/Documents/WandCalibration
Total : 78 files,  6773 codes, 1220 comments, 771 blanks, all 8764 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         51 |      5,259 |      1,014 |        507 |      6,780 |
| Log              |          1 |        758 |          0 |        113 |        871 |
| YAML             |         21 |        494 |        206 |         91 |        791 |
| Markdown         |          4 |        248 |          0 |         59 |        307 |
| pip requirements |          1 |         14 |          0 |          1 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |         78 |      6,773 |      1,220 |        771 |      8,764 |
| . (Files)                                                                                                                                         |          5 |      1,139 |          1 |        142 |      1,282 |
| assets                                                                                                                                            |          1 |        110 |          0 |         20 |        130 |
| blender                                                                                                                                           |          1 |         12 |          1 |         10 |         23 |
| bluePrint                                                                                                                                         |          1 |         22 |          0 |         19 |         41 |
| config                                                                                                                                            |         21 |        494 |        206 |         91 |        791 |
| config (Files)                                                                                                                                    |          6 |        400 |        127 |         72 |        599 |
| config/board                                                                                                                                      |          3 |         12 |         36 |          9 |         57 |
| config/labelme                                                                                                                                    |          1 |          6 |          2 |          0 |          8 |
| config/point                                                                                                                                      |          2 |         12 |          3 |          0 |         15 |
| config/pole                                                                                                                                       |          4 |         15 |          7 |          2 |         24 |
| config/wand                                                                                                                                       |          5 |         49 |         31 |          8 |         88 |
| extrinsicParameter                                                                                                                                |         32 |      3,924 |        890 |        382 |      5,196 |
| extrinsicParameter (Files)                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| extrinsicParameter/convexHull                                                                                                                     |          1 |         63 |          1 |          4 |         68 |
| extrinsicParameter/initPose                                                                                                                       |          4 |        307 |         53 |         33 |        393 |
| extrinsicParameter/poleDetection                                                                                                                  |          5 |        663 |         92 |         44 |        799 |
| extrinsicParameter/refinePose                                                                                                                     |          9 |      1,388 |        519 |        169 |      2,076 |
| extrinsicParameter/refinePose (Files)                                                                                                             |          7 |      1,216 |        437 |        133 |      1,786 |
| extrinsicParameter/refinePose/linear_warmup_cosine_annealing_warm_restarts_weight_decay                                                           |          2 |        172 |         82 |         36 |        290 |
| extrinsicParameter/worldCoord                                                                                                                     |         12 |      1,503 |        225 |        131 |      1,859 |
| intrinsicParameter                                                                                                                                |          6 |        372 |         44 |         44 |        460 |
| intrinsicParameter (Files)                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| intrinsicParameter/charucoboardCalibration                                                                                                        |          2 |        159 |         13 |         14 |        186 |
| intrinsicParameter/checkerboardCalibration                                                                                                        |          2 |        140 |         25 |         23 |        188 |
| intrinsicParameter/intrinsicCalibration                                                                                                           |          1 |         73 |          6 |          6 |         85 |
| utils                                                                                                                                             |          5 |        183 |         57 |         26 |        266 |
| visualize                                                                                                                                         |          6 |        517 |         21 |         37 |        575 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/zihaowen/Documents/WandCalibration/README.md                                                                                               | Markdown         |        110 |          0 |         19 |        129 |
| /Users/zihaowen/Documents/WandCalibration/assets/README_CN.md                                                                                     | Markdown         |        110 |          0 |         20 |        130 |
| /Users/zihaowen/Documents/WandCalibration/blender/test.py                                                                                         | Python           |         12 |          1 |         10 |         23 |
| /Users/zihaowen/Documents/WandCalibration/bluePrint/Material.md                                                                                   | Markdown         |         22 |          0 |         19 |         41 |
| /Users/zihaowen/Documents/WandCalibration/config/board/board_sample.yaml                                                                          | YAML             |          3 |         14 |          4 |         21 |
| /Users/zihaowen/Documents/WandCalibration/config/board/charucoboard_4_5.yaml                                                                      | YAML             |          5 |         10 |          3 |         18 |
| /Users/zihaowen/Documents/WandCalibration/config/board/checkerboard_11_8.yaml                                                                     | YAML             |          4 |         12 |          2 |         18 |
| /Users/zihaowen/Documents/WandCalibration/config/cfg_archery.yaml                                                                                 | YAML             |         25 |         11 |         13 |         49 |
| /Users/zihaowen/Documents/WandCalibration/config/cfg_archery_outdoor.yaml                                                                         | YAML             |         25 |         11 |         13 |         49 |
| /Users/zihaowen/Documents/WandCalibration/config/cfg_uni.yaml                                                                                     | YAML             |        247 |         44 |         13 |        304 |
| /Users/zihaowen/Documents/WandCalibration/config/cfg_wtt.yaml                                                                                     | YAML             |         61 |         40 |         13 |        114 |
